time,model,thresh,precision_all,right_det_all,pre,recall
2022-07-06 12:26:32 PM,8_21_39,0.5,5193,1188,22.88%,75.77%
2022-07-06 12:28:57 PM,8_21_39,0.6,4796,1185,24.71%,75.57%
2022-07-06 12:32:06 PM,8_21_39,0.7,4246,1174,27.65%,74.87%
2022-07-06 12:35:52 PM,8_21_39,0.8,3540,1160,32.77%,73.98%
2022-07-06 12:39:06 PM,8_21_39,0.9,2524,1128,44.69%,71.94%
2022-07-06 12:42:24 PM,8_21_39,0.95,1809,1088,60.14%,69.39%
2022-07-06 12:51:39 PM,8_21_39,0.95,1809,1088,60.14%,69.39%
2022-07-10 05:52:03 AM,4_82_123,0.5,423,423,100.00%,26.98%
2022-07-10 05:54:48 AM,4_82_123,0.4,440,440,100.00%,28.06%
2022-07-10 05:57:07 AM,4_82_123,0.3,464,463,99.78%,29.53%
2022-07-10 06:03:22 AM,4_82_123,0.2,503,497,98.81%,31.70%
2022-07-10 06:08:39 AM,4_82_123,0.1,2624,551,21.00%,35.14%
2022-07-10 06:11:12 AM,4_82_123,0.15,524,512,97.71%,32.65%
2022-07-11 02:53:27 AM,7_97_39,0.9,259,40,15.44%,2.58%
2022-07-11 02:56:03 AM,7_97_39,0.8,1303,150,11.51%,9.57%
2022-07-11 02:56:35 AM,7_97_39,0.7,2516,242,9.62%,15.43%
2022-07-11 02:57:13 AM,7_97_39,0.6,3493,287,8.22%,18.30%
2022-07-11 02:58:11 AM,7_97_39,0.5,4364,322,7.38%,20.54%
2022-07-11 02:59:54 AM,7_97_39,0.4,5136,347,6.76%,22.13%
2022-07-11 03:00:35 AM,7_97_39,0.3,5883,366,6.22%,23.34%
2022-07-11 03:01:12 AM,7_97_39,0.2,6698,386,5.76%,24.62%
2022-07-11 03:02:05 AM,7_97_39,0.1,7784,401,5.15%,25.57%
2022-07-12 01:35:18 AM,6_75_39,0.1,8816,712,8.08%,45.41%
2022-07-12 01:36:06 AM,6_75_39,0.2,7638,702,9.19%,44.77%
2022-07-12 01:36:54 AM,6_75_39,0.3,6637,689,10.38%,43.94%
2022-07-12 01:37:46 AM,6_75_39,0.4,5820,676,11.62%,43.11%
2022-07-12 01:38:19 AM,6_75_39,0.5,4967,667,13.43%,42.54%
2022-07-12 01:38:54 AM,6_75_39,0.6,4112,653,15.88%,41.65%
2022-07-12 01:39:30 AM,6_75_39,0.7,3319,632,19.04%,40.31%
2022-07-12 01:40:09 AM,6_75_39,0.8,2538,601,23.68%,38.33%
2022-07-12 01:40:43 AM,6_75_39,0.9,1513,544,35.96%,34.69%
2022-07-12 03:01:54 AM,4_98_39,0.9,3433,1148,33.44%,73.21%
2022-07-12 03:04:29 AM,4_98_39,0.8,4304,1177,27.35%,75.06%
2022-07-12 03:07:09 AM,4_98_39,0.7,4774,1194,25.01%,76.15%
2022-07-12 03:09:26 AM,4_98_39,0.6,5152,1204,23.37%,76.79%
2022-07-12 03:35:53 AM,4_98_39,0.5,5422,1207,22.26%,76.98%

2022-08-03 08:35:39 AM,11_90_39,0.5,3756,525,13.98%,33.48%
2022-08-03 08:37:29 AM,11_90_39,0.4,4078,534,13.09%,34.06%
2022-08-24 02:52:12 AM,9_132_39,0.5,179,7,3.91%,0.46%
2022-08-25 01:47:33 AM,9_132_39,0.4,483,14,2.90%,0.89%
2022-08-26 02:15:22 AM,15_84_39,0.5,7956,1355,17.03%,86.42%
2022-08-26 07:46:36 AM,15_84_39,0.6,7475,1353,18.10%,86.29%
2022-08-31 02:20:54 AM,16_188_39,0.6,1826,1009,55.26%,64.35%
2022-08-31 02:25:15 AM,16_188_39,0.5,2008,989,49.25%,63.07%
2022-09-01 10:44:34 AM,18_283_39,0.5,1481,1056,71.30%,67.35%
2022-09-02 02:00:15 AM,17_280_39,0.5,1533,1040,67.84%,66.33%
2022-09-02 07:28:04 AM,19_173_39,0.5,50,2,4.00%,0.43%
2022-09-02 11:40:59 AM,20_260_39,0.5,297,28,9.43%,2.58%
2022-09-13 02:42:19 AM,21_266_39,0.5,1493,1090,73.01%,69.52%
